trait	trait_uri	studies	association_counts	papers	Olga's comments
type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	39	589	39	
Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	39	582	39	Inflammation 
pain	http://www.ebi.ac.uk/efo/EFO_0003843	39	13	39	
Abdominal pain	http://purl.obolibrary.org/obo/HP_0002027	39	0	39	
attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	38	330	38	
obesity	http://www.ebi.ac.uk/efo/EFO_0001073	38	196	38	Glucose homeostasis/obesity
glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0005208	37	3487	37	
multiple sclerosis	http://purl.obolibrary.org/obo/MONDO_0005301	37	697	37	
obsolete_glaucoma	http://www.ebi.ac.uk/efo/EFO_0000516	37	346	37	
obsolete_cancer	http://www.ebi.ac.uk/efo/EFO_0000311	37	298	37	
allergic disease	http://purl.obolibrary.org/obo/MONDO_0005271	37	276	37	
alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	37	111	37	
secondary malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_0009812	37	0	37	
gout	http://www.ebi.ac.uk/efo/EFO_0004274	36	227	36	
pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	36	169	36	
eye disease	http://www.ebi.ac.uk/efo/EFO_0003966	36	37	36	
psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	35	429	35	
mental or behavioural disorder	http://www.ebi.ac.uk/efo/EFO_0000677	35	127	35	Mental 
hematocrit	http://www.ebi.ac.uk/efo/EFO_0004348	34	1962	34	
waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0004343	34	1559	34	
body weight	http://www.ebi.ac.uk/efo/EFO_0004338	34	1045	34	
QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	34	819	34	Cardiovascular
memory performance	http://www.ebi.ac.uk/efo/EFO_0004874	34	438	34	Mental 
forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	34	438	34	Lung 
respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	34	109	34	Lung 
Abnormal stool composition	http://purl.obolibrary.org/obo/HP_0031685	34	0	34	
insomnia	http://www.ebi.ac.uk/efo/EFO_0004698	33	3480	33	
open-angle glaucoma	http://www.ebi.ac.uk/efo/EFO_0004190	33	328	33	
osteoporosis	http://www.ebi.ac.uk/efo/EFO_0003882	33	45	33	Musculoskeletal  
Ischemic stroke	http://purl.obolibrary.org/obo/HP_0002140	32	267	32	Cardiovascular
Tinnitus	http://purl.obolibrary.org/obo/HP_0000360	32	45	32	
knee injury	http://www.ebi.ac.uk/efo/EFO_0009507	32	0	32	
erythrocyte count	http://www.ebi.ac.uk/efo/EFO_0004305	31	2602	31	
mean platelet volume	http://www.ebi.ac.uk/efo/EFO_0004584	31	2044	31	
waist circumference	http://www.ebi.ac.uk/efo/EFO_0004342	31	500	31	Glucose homeostasis/obesity
periodontitis	http://www.ebi.ac.uk/efo/EFO_0000649	31	153	31	Inflammation
age-related macular degeneration	http://www.ebi.ac.uk/efo/EFO_0001365	31	128	31	Other
hemorrhoid	http://www.ebi.ac.uk/efo/EFO_0009552	31	103	31	
poisoning	http://www.ebi.ac.uk/efo/EFO_0008546	31	0	31	
myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0000612	30	407	30	Cardiovascular 
cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	30	330	30	Cardiovascular 
family history of cancer	http://www.ebi.ac.uk/efo/EFO_0009640	30	1	30	
mean corpuscular hemoglobin	http://www.ebi.ac.uk/efo/EFO_0004527	29	2611	29	
basophil count	http://www.ebi.ac.uk/efo/EFO_0005090	29	874	29	
health study participation	http://www.ebi.ac.uk/efo/EFO_0010130	29	153	29	
amyotrophic lateral sclerosis	http://purl.obolibrary.org/obo/MONDO_0004976	29	141	29	
urinary bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	29	56	29	
Back pain	http://purl.obolibrary.org/obo/HP_0003418	29	8	29	
Chest pain	http://purl.obolibrary.org/obo/HP_0100749	29	0	29	
myeloid white cell count	http://www.ebi.ac.uk/efo/EFO_0007988	28	1182	28	
inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	28	540	28	Inflammation 
parental longevity	http://www.ebi.ac.uk/efo/EFO_0007796	28	418	28	
smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	28	269	28	
endometriosis	http://www.ebi.ac.uk/efo/EFO_0001065	28	177	28	
irritable bowel syndrome	http://www.ebi.ac.uk/efo/EFO_0000555	28	34	28	Inflammation 
normal	http://purl.obolibrary.org/obo/PATO_0000461	28	4	28	
vital capacity	http://www.ebi.ac.uk/efo/EFO_0004312	27	897	27	
attempted suicide	http://www.ebi.ac.uk/efo/EFO_0004321	27	174	27	
cardiac arrhythmia	http://www.ebi.ac.uk/efo/EFO_0004269	27	29	27	Cardiovascular
Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	26	2267	26	
venous thromboembolism	http://www.ebi.ac.uk/efo/EFO_0004286	26	397	26	Cardiovascular 
angina pectoris	http://www.ebi.ac.uk/efo/EFO_0003913	26	187	26	
Astigmatism	http://purl.obolibrary.org/obo/HP_0000483	26	91	26	
epilepsy	http://www.ebi.ac.uk/efo/EFO_0000474	26	36	26	
test result	http://www.ebi.ac.uk/efo/EFO_0000720	26	0	26	
heel bone mineral density	http://www.ebi.ac.uk/efo/EFO_0009270	25	4690	25	Musculoskeletal  
Myopia	http://purl.obolibrary.org/obo/HP_0000545	25	360	25	
ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	25	322	25	
migraine disorder	http://purl.obolibrary.org/obo/MONDO_0005277	25	308	25	
telomere length	http://www.ebi.ac.uk/efo/EFO_0004505	25	302	25	Longevity?
cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	25	190	25	
obsolete_tuberculosis	http://www.orpha.net/ORDO/Orphanet_3389	25	96	25	
diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400	25	6	25	Glucose homeostasis,obesity
breast neoplasm	http://www.ebi.ac.uk/efo/EFO_0003869	25	2	25	
bacterial disease	http://www.ebi.ac.uk/efo/EFO_0000771	25	1	25	
intelligence	http://www.ebi.ac.uk/efo/EFO_0004337	24	2658	24	
age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	24	617	24	
childhood onset asthma	http://purl.obolibrary.org/obo/MONDO_0005405	24	486	24	
carotid artery intima media thickness	http://www.ebi.ac.uk/efo/EFO_0007117	24	461	24	Cardiovascular 
QRS duration	http://www.ebi.ac.uk/efo/EFO_0005055	24	409	24	
Varicose veins	http://purl.obolibrary.org/obo/HP_0002619	24	128	24	Cardiovascular 
nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	24	51	24	
exercise test	http://www.ebi.ac.uk/efo/EFO_0004328	24	12	24	
Lower limb pain	http://purl.obolibrary.org/obo/HP_0012514	24	0	24	
joint disease	http://www.ebi.ac.uk/efo/EFO_1000999	24	0	24	
soft tissue disease	http://www.ebi.ac.uk/efo/EFO_0009470	24	0	24	
body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	23	527	23	Glucose homeostasis/obesity
ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	23	122	23	
diabetic nephropathy	http://www.ebi.ac.uk/efo/EFO_0000401	23	110	23	
Corneal astigmatism	http://www.ebi.ac.uk/efo/EFO_1002040	23	58	23	
digestive system disease	http://www.ebi.ac.uk/efo/EFO_0000405	23	0	23	
intestinal disease	http://www.ebi.ac.uk/efo/EFO_0009431	23	0	23	
FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	22	1063	22	
age at menopause	http://www.ebi.ac.uk/efo/EFO_0004704	22	327	22	Other
atopic eczema	http://www.ebi.ac.uk/efo/EFO_0000274	22	248	22	
metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	22	233	22	Glucose homeostasis/obesity
longevity	http://www.ebi.ac.uk/efo/EFO_0004300	22	217	22	Longevity?
aging	http://purl.obolibrary.org/obo/GO_0007568	22	203	22	Longevity?
non-alcoholic fatty liver disease	http://www.ebi.ac.uk/efo/EFO_0003095	22	169	22	Glucose homeostasis/obesity
multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	22	112	22	
urinary system disease	http://www.ebi.ac.uk/efo/EFO_0009690	22	0	22	
Sleep Disorder	http://www.ebi.ac.uk/efo/EFO_0008568	22	0	22	
educational attainment	http://www.ebi.ac.uk/efo/EFO_0011015	21	5243	21	
birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	21	418	21	
sleep duration	http://www.ebi.ac.uk/efo/EFO_0005271	21	229	21	
brain aneurysm	http://www.ebi.ac.uk/efo/EFO_0003870	21	130	21	
allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0005854	21	110	21	
osteoarthritis, knee	http://www.ebi.ac.uk/efo/EFO_0004616	21	64	21	Musculosceletal 
episodic memory	http://www.ebi.ac.uk/efo/EFO_0004333	21	11	21	Mental 
heart disease	http://www.ebi.ac.uk/efo/EFO_0003777	21	0	21	Cardiovascular
red blood cell distribution width	http://www.ebi.ac.uk/efo/EFO_0005192	20	2527	20	
hair color	http://www.ebi.ac.uk/efo/EFO_0003924	20	415	20	
heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	20	244	20	
celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	20	180	20	
gastroesophageal reflux disease	http://www.ebi.ac.uk/efo/EFO_0003948	20	77	20	
obsolete_sarcoidosis	http://www.orpha.net/ORDO/Orphanet_797	20	53	20	
Iron deficiency anemia	http://purl.obolibrary.org/obo/HP_0001891	20	1	20	
arthritis	http://www.ebi.ac.uk/efo/EFO_0005856	20	0	20	
Abdominal distention	http://purl.obolibrary.org/obo/HP_0003270	20	0	20	
BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	19	6181	19	
reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	19	2306	19	
body fat distribution	http://www.ebi.ac.uk/efo/EFO_0004341	19	526	19	Metabolic health/obesity
heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	19	146	19	Cardiovascular
response to antidepressant	http://purl.obolibrary.org/obo/GO_0036276	19	132	19	
skin pigmentation	http://www.ebi.ac.uk/efo/EFO_0003784	19	120	19	
large artery stroke	http://www.ebi.ac.uk/efo/EFO_0005524	19	100	19	Cardiovascular
hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	19	32	19	
pneumonia	http://www.ebi.ac.uk/efo/EFO_0003106	19	28	19	
spondylosis	http://purl.obolibrary.org/obo/MONDO_0002253	19	23	19	
retinal detachment	http://www.ebi.ac.uk/efo/EFO_0005773	19	11	19	
hearing loss	http://www.ebi.ac.uk/efo/EFO_0004238	19	11	19	
gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	19	7	19	
mouth disease	http://www.ebi.ac.uk/efo/EFO_1001047	19	0	19	
electrocardiography	http://www.ebi.ac.uk/efo/EFO_0004327	18	5601	18	
response to drug	http://purl.obolibrary.org/obo/GO_0042493	18	128	18	
small vessel stroke	http://www.ebi.ac.uk/efo/EFO_1001504	18	79	18	
anemia (phenotype)	http://www.ebi.ac.uk/efo/EFO_0004272	18	7	18	
liver disease	http://www.ebi.ac.uk/efo/EFO_0001421	18	3	18	
bladder disease	http://www.ebi.ac.uk/efo/EFO_1000018	18	3	18	
clinical history	http://www.ebi.ac.uk/efo/EFO_0000352	18	0	18	
bone disease	http://www.ebi.ac.uk/efo/EFO_0004260	18	0	18	
hypothyroidism	http://www.ebi.ac.uk/efo/EFO_0004705	17	360	17	
uterine fibroid	http://www.ebi.ac.uk/efo/EFO_0000731	17	276	17	
femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	17	197	17	Musculoskeletal  
hippocampal volume	http://www.ebi.ac.uk/efo/EFO_0005035	17	157	17	
cardioembolic stroke	http://www.ebi.ac.uk/efo/EFO_1001976	17	152	17	
dental caries	http://www.ebi.ac.uk/efo/EFO_0003819	17	152	17	
spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007701	17	145	17	Musculoskeletal 
post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	17	137	17	
acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	17	78	17	
polycystic ovary syndrome	http://www.ebi.ac.uk/efo/EFO_0000660	17	76	17	
response to anticonvulsant	http://purl.obolibrary.org/obo/GO_0036277	17	61	17	
alcohol drinking	http://www.ebi.ac.uk/efo/EFO_0004329	17	59	17	
Sjogren syndrome	http://www.ebi.ac.uk/efo/EFO_0000699	17	56	17	
thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0002892	17	41	17	
chronic hepatitis C virus infection	http://www.ebi.ac.uk/efo/EFO_0004220	17	36	17	
appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	17	2	17	
Fatigue	http://purl.obolibrary.org/obo/HP_0012378	17	2	17	
head injury	http://www.ebi.ac.uk/efo/EFO_0009505	17	0	17	
substance-related disorder	http://purl.obolibrary.org/obo/MONDO_0002494	17	0	17	
bowel dysfunction	http://purl.obolibrary.org/obo/MONDO_0004880	17	0	17	
deep vein thrombosis	http://www.ebi.ac.uk/efo/EFO_0003907	17	0	17	cardiovascular
Abnormal delivery	http://purl.obolibrary.org/obo/HP_0001787	17	0	17	
coronary artery calcification	http://www.ebi.ac.uk/efo/EFO_0004723	16	313	16	cardiovascular
Cleft palate, cleft lip	http://purl.obolibrary.org/obo/HP_0000175, http://www.ebi.ac.uk/efo/EFO_0003959	16	252	16	
basal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0004193	16	213	16	
Self-injurious behavior	http://purl.obolibrary.org/obo/HP_0100716	16	194	16	
blood pressure	http://www.ebi.ac.uk/efo/EFO_0004325	16	132	16	cardiovascular
reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	16	125	16	
family history of Alzheimer’s disease	http://www.ebi.ac.uk/efo/EFO_0009268	16	105	16	Mental 
peripheral arterial disease	http://www.ebi.ac.uk/efo/EFO_0004265	16	77	16	
glioma	http://www.ebi.ac.uk/efo/EFO_0005543	16	75	16	
Headache	http://purl.obolibrary.org/obo/HP_0002315	16	41	16	
Nasal Cavity Polyp	http://www.ebi.ac.uk/efo/EFO_1000391	16	40	16	
drug dependence	http://www.ebi.ac.uk/efo/EFO_0003890	16	34	16	
Abnormality of the skeletal system	http://purl.obolibrary.org/obo/HP_0000924	16	12	16	
esophageal disease	http://www.ebi.ac.uk/efo/EFO_0009544	16	3	16	
cystitis	http://www.ebi.ac.uk/efo/EFO_1000025	16	2	16	
treatment	http://www.ebi.ac.uk/efo/EFO_0000727	16	0	16	
upper extremity fracture	http://www.ebi.ac.uk/efo/EFO_0009514	16	0	16	
PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	15	602	15	
cleft lip	http://www.ebi.ac.uk/efo/EFO_0003959	15	248	15	
urinary albumin to creatinine ratio	http://www.ebi.ac.uk/efo/EFO_0007778	15	244	15	
chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	15	162	15	
major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	15	113	15	
eye color	http://www.ebi.ac.uk/efo/EFO_0003949	15	104	15	
gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	15	91	15	
osteoarthritis, hip	http://www.ebi.ac.uk/efo/EFO_1000786	15	83	15	
diabetic retinopathy	http://www.ebi.ac.uk/efo/EFO_0003770	15	83	15	
handedness	http://www.ebi.ac.uk/efo/EFO_0009902	15	79	15	
preeclampsia	http://www.ebi.ac.uk/efo/EFO_0000668	15	20	15	
response to tyrosine kinase inhibitor	http://www.ebi.ac.uk/efo/EFO_0009170	15	8	15	
breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	15	6	15	
peripheral vascular disease	http://www.ebi.ac.uk/efo/EFO_0003875	15	5	15	
Arthralgia	http://purl.obolibrary.org/obo/HP_0002829	15	0	15	
hip circumference	http://www.ebi.ac.uk/efo/EFO_0005093	14	325	14	
lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	14	163	14	
systemic scleroderma	http://www.ebi.ac.uk/efo/EFO_0000717	14	111	14	
response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0097327	14	73	14	
interstitial lung disease	http://www.ebi.ac.uk/efo/EFO_0004244	14	54	14	
body weights and measures	http://www.ebi.ac.uk/efo/EFO_0004324	14	50	14	
B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	14	47	14	
Behcet's syndrome	http://www.ebi.ac.uk/efo/EFO_0003780	14	44	14	
nephrotic syndrome	http://www.ebi.ac.uk/efo/EFO_0004255	14	37	14	
gallstones	http://www.ebi.ac.uk/efo/EFO_0004210	14	37	14	
acute graft vs. host disease	http://www.ebi.ac.uk/efo/EFO_0004599	14	36	14	
seasonal allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0003956	14	27	14	
emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	14	26	14	
non-Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0005952	14	16	14	
intracerebral hemorrhage	http://www.ebi.ac.uk/efo/EFO_0005669	14	10	14	
Cognitive impairment	http://purl.obolibrary.org/obo/HP_0100543	14	8	14	Mental 
kidney disease	http://www.ebi.ac.uk/efo/EFO_0003086	14	6	14	
Abdominal symptom	http://purl.obolibrary.org/obo/HP_0011458	14	2	14	
sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	14	0	14	
cerebrovascular disorder	http://www.ebi.ac.uk/efo/EFO_0003763	14	0	14	
cervical disc degenerative disorder	http://www.ebi.ac.uk/efo/EFO_0009537	14	0	14	
sign or symptom	http://www.ebi.ac.uk/efo/EFO_0003765	14	0	14	
Sciatica	http://purl.obolibrary.org/obo/HP_0011868	14	0	14	
male reproductive system disease	http://www.ebi.ac.uk/efo/EFO_0009555	14	0	14	
auditory system disease	http://www.ebi.ac.uk/efo/EFO_1001455	14	0	14	
age-related hearing impairment	http://www.ebi.ac.uk/efo/EFO_0005782	13	270	13	other
autism spectrum disorder	http://www.ebi.ac.uk/efo/EFO_0003756	13	136	13	
pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	13	100	13	
testicular carcinoma	http://www.ebi.ac.uk/efo/EFO_0005088	13	57	13	
nephrolithiasis	http://www.ebi.ac.uk/efo/EFO_0004253	13	44	13	
epigenetic status, aging	http://www.ebi.ac.uk/efo/EFO_0000473, http://purl.obolibrary.org/obo/GO_0007568	13	39	13	
osteoarthritis, hand	http://www.ebi.ac.uk/efo/EFO_1000789	13	23	13	
lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	13	22	13	
cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0001422	13	18	13	
benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	13	13	13	
anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	13	13	13	
retinopathy	http://www.ebi.ac.uk/efo/EFO_0003839	13	11	13	
brain neoplasm	http://www.ebi.ac.uk/efo/EFO_0003833	13	2	13	
viral subtype carrier status	http://www.ebi.ac.uk/efo/EFO_0010234	13	1	13	
sinusitis	http://www.ebi.ac.uk/efo/EFO_0007486	13	0	13	
urinary tract infection	http://www.ebi.ac.uk/efo/EFO_0003103	13	0	13	
self reported educational attainment	http://www.ebi.ac.uk/efo/EFO_0004784	12	3748	12	
corneal topography	http://www.ebi.ac.uk/efo/EFO_0004345	12	174	12	
smoking cessation	http://www.ebi.ac.uk/efo/EFO_0004319	12	136	12	
endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	12	109	12	
neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	12	103	12	
hemolysis	http://www.ebi.ac.uk/efo/EFO_0009473	12	52	12	
response to TNF antagonist	http://www.ebi.ac.uk/efo/EFO_0004653	12	40	12	inflammation
diastolic blood pressure, unipolar depression	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0003761	12	31	12	
unipolar depression, systolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0006335	12	30	12	
mean arterial pressure, unipolar depression	http://www.ebi.ac.uk/efo/EFO_0006340, http://www.ebi.ac.uk/efo/EFO_0003761	12	28	12	
insulin resistance	http://www.ebi.ac.uk/efo/EFO_0002614	12	21	12	Glucose homeostasis/obesity
gastric ulcer	http://www.ebi.ac.uk/efo/EFO_0009454	12	9	12	
social deprivation, systolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0009696, http://www.ebi.ac.uk/efo/EFO_0006335	12	8	12	
mean arterial pressure, social deprivation	http://www.ebi.ac.uk/efo/EFO_0006340, http://www.ebi.ac.uk/efo/EFO_0009696	12	7	12	
diastolic blood pressure, social deprivation	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0009696	12	5	12	
Hypercholesterolemia	http://purl.obolibrary.org/obo/HP_0003124	12	5	12	Cardiovascular
chronic fatigue syndrome	http://www.ebi.ac.uk/efo/EFO_0004540	12	5	12	
Urinary incontinence	http://purl.obolibrary.org/obo/HP_0000020	12	2	12	
mean arterial pressure, anxiety	http://www.ebi.ac.uk/efo/EFO_0006340, http://www.ebi.ac.uk/efo/EFO_0005230	12	0	12	
systolic blood pressure, anxiety	http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0005230	12	0	12	
gastroenteritis	http://www.ebi.ac.uk/efo/EFO_1001463	12	0	12	
diastolic blood pressure, anxiety	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0005230	12	0	12	
nervous system disease	http://www.ebi.ac.uk/efo/EFO_0000618	12	0	12	
lower urinary tract symptom	http://www.ebi.ac.uk/efo/EFO_0008008	12	0	12	
BMI-adjusted hip circumference	http://www.ebi.ac.uk/efo/EFO_0008039	11	4822	11	
primary biliary cirrhosis	http://www.ebi.ac.uk/efo/EFO_1001486	11	262	11	
response to antipsychotic drug	http://purl.obolibrary.org/obo/GO_0097332	11	101	11	
HIV-1 infection	http://www.ebi.ac.uk/efo/EFO_0000180	11	92	11	
Graves disease	http://www.ebi.ac.uk/efo/EFO_0004237	11	87	11	
urolithiasis	http://purl.obolibrary.org/obo/MONDO_0024647	11	82	11	
spontaneous preterm birth	http://www.ebi.ac.uk/efo/EFO_0006917	11	80	11	
response to selective serotonin reuptake inhibitor	http://www.ebi.ac.uk/efo/EFO_0005658	11	69	11	
mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	11	59	11	
psoriatic arthritis	http://www.ebi.ac.uk/efo/EFO_0003778	11	57	11	
juvenile idiopathic arthritis	http://www.ebi.ac.uk/efo/EFO_0002609	11	55	11	
